Epoch:5,MAE:0.11957, RMSE:0.34286, pearson:0.64998
Epoch:10,MAE:0.11886, RMSE:0.34329, pearson:0.65154
Epoch:15,MAE:0.11975, RMSE:0.34458, pearson:0.64954
Epoch:20,MAE:0.11927, RMSE:0.34388, pearson:0.65163
Epoch:25,MAE:0.11925, RMSE:0.34387, pearson:0.65077
Epoch:30,MAE:0.12003, RMSE:0.34503, pearson:0.64791
Epoch:35,MAE:0.11977, RMSE:0.34464, pearson:0.64908
Epoch:40,MAE:0.11992, RMSE:0.34487, pearson:0.64861
Epoch:45,MAE:0.12014, RMSE:0.34519, pearson:0.64790
Epoch:50,MAE:0.12023, RMSE:0.34532, pearson:0.64785
Epoch:55,MAE:0.12085, RMSE:0.34621, pearson:0.64650
Epoch:60,MAE:0.12095, RMSE:0.34637, pearson:0.64683
Epoch:65,MAE:0.12112, RMSE:0.34664, pearson:0.64659
Epoch:70,MAE:0.12165, RMSE:0.34739, pearson:0.64506
Epoch:75,MAE:0.12210, RMSE:0.34805, pearson:0.64371
Epoch:80,MAE:0.12209, RMSE:0.34804, pearson:0.64409
Epoch:85,MAE:0.12211, RMSE:0.34806, pearson:0.64425
Epoch:90,MAE:0.12270, RMSE:0.34889, pearson:0.64229
Epoch:95,MAE:0.12284, RMSE:0.34910, pearson:0.64207
Epoch:100,MAE:0.12322, RMSE:0.34964, pearson:0.64087
Epoch:105,MAE:0.12361, RMSE:0.35018, pearson:0.63997
Epoch:110,MAE:0.12353, RMSE:0.35007, pearson:0.64036
Epoch:115,MAE:0.12352, RMSE:0.35006, pearson:0.64025
Epoch:120,MAE:0.12345, RMSE:0.34995, pearson:0.64061
Epoch:125,MAE:0.12344, RMSE:0.34993, pearson:0.64119
Epoch:130,MAE:0.12358, RMSE:0.35013, pearson:0.64114
Epoch:135,MAE:0.12344, RMSE:0.34993, pearson:0.64161
Epoch:140,MAE:0.12325, RMSE:0.34965, pearson:0.64216
Epoch:145,MAE:0.12305, RMSE:0.34935, pearson:0.64287
Epoch:150,MAE:0.12306, RMSE:0.34937, pearson:0.64300
Epoch:155,MAE:0.12296, RMSE:0.34923, pearson:0.64338
Epoch:160,MAE:0.12289, RMSE:0.34912, pearson:0.64371
Epoch:165,MAE:0.12279, RMSE:0.34898, pearson:0.64413
Epoch:170,MAE:0.12274, RMSE:0.34892, pearson:0.64416
Epoch:175,MAE:0.12282, RMSE:0.34903, pearson:0.64421
Epoch:180,MAE:0.12267, RMSE:0.34882, pearson:0.64480
Epoch:185,MAE:0.12258, RMSE:0.34868, pearson:0.64520
Epoch:190,MAE:0.12260, RMSE:0.34871, pearson:0.64535
Epoch:195,MAE:0.12261, RMSE:0.34873, pearson:0.64547
Epoch:200,MAE:0.12255, RMSE:0.34865, pearson:0.64577
Epoch:205,MAE:0.12249, RMSE:0.34857, pearson:0.64595
Epoch:210,MAE:0.12251, RMSE:0.34859, pearson:0.64600
Epoch:215,MAE:0.12242, RMSE:0.34848, pearson:0.64621
Epoch:220,MAE:0.12231, RMSE:0.34831, pearson:0.64661
Epoch:225,MAE:0.12225, RMSE:0.34822, pearson:0.64678
Epoch:230,MAE:0.12213, RMSE:0.34805, pearson:0.64718
Epoch:235,MAE:0.12204, RMSE:0.34792, pearson:0.64737
Epoch:240,MAE:0.12200, RMSE:0.34786, pearson:0.64756
Epoch:245,MAE:0.12200, RMSE:0.34787, pearson:0.64766
Epoch:250,MAE:0.12201, RMSE:0.34788, pearson:0.64774
Epoch:255,MAE:0.12201, RMSE:0.34788, pearson:0.64786
Epoch:260,MAE:0.12201, RMSE:0.34788, pearson:0.64801
Epoch:265,MAE:0.12203, RMSE:0.34791, pearson:0.64807
Epoch:270,MAE:0.12196, RMSE:0.34780, pearson:0.64829
Epoch:275,MAE:0.12190, RMSE:0.34771, pearson:0.64849
Epoch:280,MAE:0.12187, RMSE:0.34767, pearson:0.64860
Epoch:285,MAE:0.12184, RMSE:0.34763, pearson:0.64870
Epoch:290,MAE:0.12179, RMSE:0.34755, pearson:0.64888
Epoch:295,MAE:0.12172, RMSE:0.34744, pearson:0.64911
Epoch:300,MAE:0.12165, RMSE:0.34735, pearson:0.64935
Epoch:305,MAE:0.12161, RMSE:0.34728, pearson:0.64952
Epoch:310,MAE:0.12156, RMSE:0.34721, pearson:0.64972
Epoch:315,MAE:0.12154, RMSE:0.34717, pearson:0.64992
Epoch:320,MAE:0.12150, RMSE:0.34711, pearson:0.65010
Epoch:325,MAE:0.12148, RMSE:0.34709, pearson:0.65018
Epoch:330,MAE:0.12144, RMSE:0.34702, pearson:0.65035
Epoch:335,MAE:0.12140, RMSE:0.34697, pearson:0.65049
Epoch:340,MAE:0.12139, RMSE:0.34696, pearson:0.65056
Epoch:345,MAE:0.12138, RMSE:0.34694, pearson:0.65061
Epoch:350,MAE:0.12138, RMSE:0.34694, pearson:0.65067
Epoch:355,MAE:0.12137, RMSE:0.34692, pearson:0.65074
Epoch:360,MAE:0.12135, RMSE:0.34689, pearson:0.65085
Epoch:365,MAE:0.12134, RMSE:0.34688, pearson:0.65091
Epoch:370,MAE:0.12134, RMSE:0.34688, pearson:0.65096
Epoch:375,MAE:0.12135, RMSE:0.34689, pearson:0.65099
Epoch:380,MAE:0.12134, RMSE:0.34688, pearson:0.65105
Epoch:385,MAE:0.12134, RMSE:0.34688, pearson:0.65109
Epoch:390,MAE:0.12135, RMSE:0.34689, pearson:0.65113
Epoch:395,MAE:0.12135, RMSE:0.34689, pearson:0.65118
Epoch:400,MAE:0.12135, RMSE:0.34689, pearson:0.65123
