model_dir:checkpoints/GAN_Control_Ensemble_pix2pix_aligned_Resnet_catt_256_jit
Epoch:5,MAE:0.09734, RMSE:0.31065, pearson:0.70985
Epoch:10,MAE:0.09027, RMSE:0.29845, pearson:0.73390
Epoch:15,MAE:0.08645, RMSE:0.29177, pearson:0.74554
Epoch:20,MAE:0.11447, RMSE:0.32838, pearson:0.69709
Epoch:25,MAE:0.10665, RMSE:0.31702, pearson:0.71299
Epoch:30,MAE:0.10142, RMSE:0.30937, pearson:0.72399
Epoch:35,MAE:0.09741, RMSE:0.30338, pearson:0.73199
Epoch:40,MAE:0.09466, RMSE:0.29938, pearson:0.73763
Epoch:45,MAE:0.09264, RMSE:0.29649, pearson:0.74124
Epoch:50,MAE:0.09046, RMSE:0.29314, pearson:0.74589
Epoch:55,MAE:0.08879, RMSE:0.29059, pearson:0.74913
Epoch:60,MAE:0.08803, RMSE:0.28959, pearson:0.75109
Epoch:65,MAE:0.08681, RMSE:0.28773, pearson:0.75347
Epoch:70,MAE:0.08577, RMSE:0.28610, pearson:0.75572
Epoch:75,MAE:0.08473, RMSE:0.28445, pearson:0.75810
Epoch:80,MAE:0.08372, RMSE:0.28280, pearson:0.76025
Epoch:85,MAE:0.08289, RMSE:0.28148, pearson:0.76207
Epoch:90,MAE:0.08218, RMSE:0.28035, pearson:0.76365
Epoch:95,MAE:0.08147, RMSE:0.27919, pearson:0.76524
Epoch:100,MAE:0.08086, RMSE:0.27818, pearson:0.76669
Epoch:105,MAE:0.08028, RMSE:0.27723, pearson:0.76803
Epoch:110,MAE:0.07982, RMSE:0.27653, pearson:0.76896
Epoch:115,MAE:0.07935, RMSE:0.27578, pearson:0.77003
Epoch:120,MAE:0.07891, RMSE:0.27506, pearson:0.77104
Epoch:125,MAE:0.07849, RMSE:0.27435, pearson:0.77205
Epoch:130,MAE:0.07811, RMSE:0.27374, pearson:0.77297
Epoch:135,MAE:0.07771, RMSE:0.27308, pearson:0.77386
Epoch:140,MAE:0.07738, RMSE:0.27253, pearson:0.77465
Epoch:145,MAE:0.07705, RMSE:0.27199, pearson:0.77542
Epoch:150,MAE:0.07677, RMSE:0.27152, pearson:0.77608
Epoch:155,MAE:0.07655, RMSE:0.27117, pearson:0.77659
Epoch:160,MAE:0.07649, RMSE:0.27111, pearson:0.77669
Epoch:165,MAE:0.07625, RMSE:0.27070, pearson:0.77721
Epoch:170,MAE:0.07601, RMSE:0.27030, pearson:0.77776
Epoch:175,MAE:0.07575, RMSE:0.26986, pearson:0.77832
Epoch:180,MAE:0.07555, RMSE:0.26953, pearson:0.77878
Epoch:185,MAE:0.07539, RMSE:0.26926, pearson:0.77915
Epoch:190,MAE:0.07520, RMSE:0.26892, pearson:0.77962
Epoch:195,MAE:0.07499, RMSE:0.26857, pearson:0.78007
Epoch:200,MAE:0.07482, RMSE:0.26826, pearson:0.78048
